Downloaded on,05/01/2020,14:28:06 EDT,,,,,,,,,,,
Search URL,https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=116&congresses%5B1%5D=115&congresses%5B2%5D=114&congresses%5B3%5D=113&legislationNumbers=&restrictionType=includeBillText&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&public=true&private=true&chamber=all&actionTerms=&legislativeActionWordVariants=true&dateOfActionOperator=equal&dateOfActionStartDate=&dateOfActionEndDate=&dateOfActionIsOptions=yesterday&dateOfActionToggle=multi&legislativeAction=Any&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypes%5B1%5D=sponsor&sponsorTypeBool=OR&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=12&committeeActivity%5B4%5D=4&committeeActivity%5B5%5D=2&committeeActivity%5B6%5D=5&committeeActivity%5B7%5D=9&satellite=%7B%22Actions%22%3A%7B%22operator%22%3A%22OR%22%2C%22actions%22%3A%7B%2214%22%3A%22House+committee%5C%2Fsubcommittee+markups%22%2C%2234%22%3A%22House+amendment+actions%22%2C%2235%22%3A%22House+amendment+offered%5C%2Freported+by%22%7D%7D%2C%22Subject+-+Policy+Area%22%3A%7B%22policyAreas%22%3A%5B%5D%7D%2C%22Legislative+Subject+Terms%22%3A%7B%22operator%22%3A%22OR%22%2C%22subjects%22%3A%5B%22Military+assistance%2C+sales%2C+and+agreements%22%2C%22Military+civil+functions%22%2C%22Military+command+and+structure%22%2C%22Military+education+and+training%22%2C%22Military+facilities+and+property%22%2C%22Military+law%22%2C%22Military+medicine%22%2C%22Military+operations+and+strategy%22%2C%22Military+personnel+and+dependents%22%2C%22Military+procurement%2C+research%2C+weapons+development%22%2C%22Military+readiness%22%5D%7D%7D&search=&submitted=Submitted&searchResultViewType=expanded&KWICView=false,,,,,,,,,,,,
,,,,,,,,,,,,,
Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 2275,https://www.congress.gov/bill/114th-congress/house-bill/2275,114th Congress (2015-2016),,Jobs for Veterans Act of 2015,"Rep. Miller, Jeff [R-FL-1]",05/12/2015,,,,3,"House - Veterans' Affairs, Ways and Means, Budget",06/25/2015,Forwarded by Subcommittee to Full Committee by Voice Vote .
H.R. 2140,https://www.congress.gov/bill/114th-congress/house-bill/2140,114th Congress (2015-2016),,Vietnam Human Rights Act of 2015,"Rep. Smith, Christopher H. [R-NJ-4]",04/30/2015,,,,18,House - Foreign Affairs,05/20/2015,Referred to the Subcommittee on Asia and the Pacific.
H.R. 1987,https://www.congress.gov/bill/114th-congress/house-bill/1987,114th Congress (2015-2016),,Coast Guard Authorization Act of 2015,"Rep. Hunter, Duncan D. [R-CA-50]",04/23/2015,,,,4,"House - Transportation and Infrastructure | Senate - Commerce, Science, and Transportation",05/19/2015,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
H.R. 1949,https://www.congress.gov/bill/114th-congress/house-bill/1949,114th Congress (2015-2016),,National Liberty Memorial Clarification Act of 2015,"Rep. Butterfield, G. K. [D-NC-1]",04/22/2015,,,,1,House - Natural Resources | Senate - Energy and Natural Resources,03/17/2016,Committee on Energy and Natural Resources Senate Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 114-496.
H.R. 1769,https://www.congress.gov/bill/114th-congress/house-bill/1769,114th Congress (2015-2016),,Toxic Exposure Research Act of 2016,"Rep. Benishek, Dan [R-MI-1]",04/14/2015,,,,201,"House - Veterans' Affairs, Armed Services",05/24/2016,"Placed on the Union Calendar, Calendar No. 460."
H.R. 1735,https://www.congress.gov/bill/114th-congress/house-bill/1735,114th Congress (2015-2016),,National Defense Authorization Act for Fiscal Year 2016,"Rep. Thornberry, Mac [R-TX-13]",04/13/2015,,,,1,House - Armed Services,10/22/2015,Vetoed by President.
H.R. 1670,https://www.congress.gov/bill/114th-congress/house-bill/1670,114th Congress (2015-2016),,National POW/MIA Remembrance Act of 2015,"Rep. Lynch, Stephen F. [D-MA-8]",03/26/2015,,,,45,House - House Administration,04/29/2016,Became Public Law No: 114-147.
H.R. 1654,https://www.congress.gov/bill/114th-congress/house-bill/1654,114th Congress (2015-2016),,"To authorize the direct provision of defense articles, defense services, and related training to the Kurdistan Regional Government, and for other purposes.","Rep. Royce, Edward R. [R-CA-39]",03/26/2015,,,,51,House - Foreign Affairs,12/09/2015,Ordered to be Reported in the Nature of a Substitute (Amended) by Unanimous Consent.
H.R. 1475,https://www.congress.gov/bill/114th-congress/house-bill/1475,114th Congress (2015-2016),,Korean War Veterans Memorial Wall of Remembrance Act,"Rep. Johnson, Sam [R-TX-3]",03/19/2015,,,,309,House - Natural Resources | Senate - Energy and Natural Resources,10/07/2016,Became Public Law No: 114-230.
H.R. 1314,https://www.congress.gov/bill/114th-congress/house-bill/1314,114th Congress (2015-2016),,Bipartisan Budget Act of 2015,"Rep. Meehan, Patrick [R-PA-7]",03/04/2015,,,,2,House - Ways and Means,11/02/2015,Became Public Law No: 114-74.
H.R. 1141,https://www.congress.gov/bill/114th-congress/house-bill/1141,114th Congress (2015-2016),,GI Bill Fairness Act of 2015,"Rep. Takano, Mark [D-CA-41]",02/26/2015,,,,16,House - Veterans' Affairs,04/16/2015,Forwarded by Subcommittee to Full Committee by Voice Vote .
H.R. 979,https://www.congress.gov/bill/114th-congress/house-bill/979,114th Congress (2015-2016),,"To designate a mountain in the John Muir Wilderness of the Sierra National Forest as ""Sky Point"".","Rep. McClintock, Tom [R-CA-4]",02/13/2015,,,,52,House - Natural Resources | Senate - Energy and Natural Resources,06/02/2015,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.
H.R. 907,https://www.congress.gov/bill/114th-congress/house-bill/907,114th Congress (2015-2016),,United States-Jordan Defense Cooperation Act of 2015,"Rep. Ros-Lehtinen, Ileana [R-FL-27]",02/12/2015,,,,13,House - Foreign Affairs | Senate - Foreign Relations,02/18/2016,Became Public Law No: 114-123.
H.R. 757,https://www.congress.gov/bill/114th-congress/house-bill/757,114th Congress (2015-2016),,North Korea Sanctions and Policy Enhancement Act of 2016,"Rep. Royce, Edward R. [R-CA-39]",02/05/2015,,,,36,"House - Foreign Affairs, Ways and Means, Judiciary, Financial Services, Oversight and Government Reform | Senate - Foreign Relations",02/18/2016,Became Public Law No: 114-122.
H.R. 728,https://www.congress.gov/bill/114th-congress/house-bill/728,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 7050 Highway BB in Cedar Hill, Missouri, as the ""Sergeant First Class William B. Woods, Jr. Post Office"".","Rep. Luetkemeyer, Blaine [R-MO-3]",02/04/2015,,,,7,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/20/2015,Became Public Law No: 114-32.
H.R. 433,https://www.congress.gov/bill/114th-congress/house-bill/433,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 523 East Railroad Street in Knox, Pennsylvania, as the ""Specialist Ross A. McGinnis Memorial Post Office"".","Rep. Thompson, Glenn [R-PA-5]",01/21/2015,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/13/2016,Became Public Law No: 114-167.
H.R. 399,https://www.congress.gov/bill/114th-congress/house-bill/399,114th Congress (2015-2016),,Secure Our Borders First Act of 2015,"Rep. McCaul, Michael T. [R-TX-10]",01/16/2015,,,,29,"House - Homeland Security, Armed Services, Natural Resources, Agriculture",01/27/2015,"Placed on the Union Calendar, Calendar No. 6."
H.R. 322,https://www.congress.gov/bill/114th-congress/house-bill/322,114th Congress (2015-2016),,"To designate the facility of the United States Postal Service located at 16105 Swingley Ridge Road in Chesterfield, Missouri, as the ""Sgt. Zachary M. Fisher Post Office"".","Rep. Wagner, Ann [R-MO-2]",01/13/2015,,,,7,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,11/05/2015,Became Public Law No: 114-76.
H.R. 5404,https://www.congress.gov/bill/113th-congress/house-bill/5404,113th Congress (2013-2014),,Department of Veterans Affairs Expiring Authorities Act of 2014,"Rep. Denham, Jeff [R-CA-10]",09/08/2014,,,,1,"House - Veterans' Affairs, Armed Services, Budget",09/26/2014,Became Public Law No: 113-175.
H.R. 5386,https://www.congress.gov/bill/113th-congress/house-bill/5386,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 11662 Gravois Road in St. Louis, Missouri, as the ""Lt. Daniel P. Riordan Post Office"".","Rep. Wagner, Ann [R-MO-2]",07/31/2014,,,,7,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,11/18/2014,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
H.R. 5331,https://www.congress.gov/bill/113th-congress/house-bill/5331,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 73839 Gorgonio Drive in Twentynine Palms, California, as the ""Colonel M.J. 'Mac' Dube, USMC Post Office Building"".","Rep. Cook, Paul [R-CA-8]",07/31/2014,,,,51,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/18/2014,Became Public Law No: 113-266.
H.R. 5235,https://www.congress.gov/bill/113th-congress/house-bill/5235,113th Congress (2013-2014),,Emergency Iron Dome Replenishment Act,"Rep. Engel, Eliot L. [D-NY-16]",07/29/2014,,,,22,House - Foreign Affairs,07/30/2014,Ordered to be Reported (Amended) by Unanimous Consent.
H.R. 5205,https://www.congress.gov/bill/113th-congress/house-bill/5205,113th Congress (2013-2014),,Northern Nevada Land Conservation and Economic Development Act,"Rep. Amodei, Mark E. [R-NV-2]",07/25/2014,,,,3,House - Natural Resources | Senate - Energy and Natural Resources,09/16/2014,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.
H.R. 5204,https://www.congress.gov/bill/113th-congress/house-bill/5204,113th Congress (2013-2014),,Federal Lands Recreation Enhancement Modernization Act of 2014,"Rep. Bishop, Rob [R-UT-1]",07/25/2014,,,,0,"House - Natural Resources, Agriculture",12/22/2014,"Placed on the Union Calendar, Calendar No. 537."
H.R. 5203,https://www.congress.gov/bill/113th-congress/house-bill/5203,113th Congress (2013-2014),,Dwight D. Eisenhower Memorial Commission Reform Act,"Rep. Bishop, Rob [R-UT-1]",07/25/2014,,,,7,House - Natural Resources,12/22/2014,"Placed on the Union Calendar, Calendar No. 536."
H.R. 5030,https://www.congress.gov/bill/113th-congress/house-bill/5030,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 13500 SW 250 Street in Princeton, Florida, as the ""Corporal Christian A. Guzman Rivera Post Office Building"".","Rep. Ros-Lehtinen, Ileana [R-FL-27]",07/08/2014,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/16/2014,Became Public Law No: 113-225.
H.R. 5019,https://www.congress.gov/bill/113th-congress/house-bill/5019,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 1335 Jefferson Road in Rochester, New York, as the ""Specialist Theodore Matthew Glende Post Office"".","Rep. Slaughter, Louise McIntosh [D-NY-25]",07/07/2014,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,11/13/2014,Placed on Senate Legislative Calendar under General Orders. Calendar No. 594.
H.R. 4919,https://www.congress.gov/bill/113th-congress/house-bill/4919,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 715 Shawan Falls Drive in Dublin, Ohio, as the ""Lance Corporal Wesley G. Davids and Captain Nicholas J. Rozanski Memorial Post Office"".","Rep. Tiberi, Patrick J. [R-OH-12]",06/19/2014,,,,14,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/16/2014,Became Public Law No: 113-222.
H.R. 4809,https://www.congress.gov/bill/113th-congress/house-bill/4809,113th Congress (2013-2014),,"To reauthorize the Defense Production Act, to improve the Defense Production Act Committee, and for other purposes.","Rep. Campbell, John [R-CA-45]",06/09/2014,,,,0,House - Financial Services,09/26/2014,Became Public Law No: 113-172.
H.R. 4681,https://www.congress.gov/bill/113th-congress/house-bill/4681,113th Congress (2013-2014),,Intelligence Authorization Act for Fiscal Year 2015,"Rep. Rogers, Mike J. [R-MI-8]",05/20/2014,,,,0,House - Intelligence (Permanent) | Senate - Intelligence,12/19/2014,Became Public Law No: 113-293.
H.R. 4668,https://www.congress.gov/bill/113th-congress/house-bill/4668,113th Congress (2013-2014),,Point Spencer Coast Guard and Public-Private Sector Infrastructure Development Facilitation and Land Conveyance Act,"Rep. Young, Don [R-AK-At Large]",05/15/2014,,,,1,"House - Natural Resources, Transportation and Infrastructure",11/19/2014,Ordered to be Reported by Unanimous Consent.
H.R. 4651,https://www.congress.gov/bill/113th-congress/house-bill/4651,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 601 West Baker Road in Baytown, Texas, as the ""Specialist Keith Erin Grace, Jr. Memorial Post Office"".","Rep. Stockman, Steve [R-TX-36]",05/09/2014,,,,35,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/18/2014,Became Public Law No: 113-259.
H.R. 4489,https://www.congress.gov/bill/113th-congress/house-bill/4489,113th Congress (2013-2014),,World War I Memorial Act of 2014,"Rep. Cleaver, Emanuel [D-MO-5]",04/28/2014,,,,28,"House - Natural Resources, Oversight and Government Reform",12/08/2014,"Placed on the Union Calendar, Calendar No. 486."
H.R. 4458,https://www.congress.gov/bill/113th-congress/house-bill/4458,113th Congress (2013-2014),,Naval Air Weapons Station China Lake Security Enhancement Act,"Rep. McCarthy, Kevin [R-CA-23]",04/10/2014,,,,0,House - Natural Resources,06/30/2014,"Placed on the Union Calendar, Calendar No. 378."
H.R. 4443,https://www.congress.gov/bill/113th-congress/house-bill/4443,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 90 Vermilyea Avenue, in New York, New York, as the ""Corporal Juan Mariel Alcantara Post Office Building"".","Rep. Rangel, Charles B. [D-NY-13]",04/09/2014,,,,27,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/16/2014,Became Public Law No: 113-220.
H.R. 4435,https://www.congress.gov/bill/113th-congress/house-bill/4435,113th Congress (2013-2014),,"Howard P. ""Buck"" McKeon National Defense Authorization Act for Fiscal Year 2015","Rep. McKeon, Howard P. ""Buck"" [R-CA-25]",04/09/2014,,,,1,House - Armed Services,06/05/2014,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 425.
H.R. 4416,https://www.congress.gov/bill/113th-congress/house-bill/4416,113th Congress (2013-2014),,"To redesignate the facility of the United States Postal Service located at 161 Live Oak Street in Miami, Arizona, as the ""Staff Sergeant Manuel V. Mendoza Post Office Building"".","Rep. Kirkpatrick, Ann [D-AZ-1]",04/07/2014,,,,8,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/18/2014,Became Public Law No: 113-258.
H.R. 4402,https://www.congress.gov/bill/113th-congress/house-bill/4402,113th Congress (2013-2014),,Guam Military Training and Readiness Act of 2014,"Rep. Bordallo, Madeleine Z. [D-GU-At Large]",04/04/2014,,,,0,"House - Natural Resources, Armed Services",12/08/2014,"Placed on the Union Calendar, Calendar No. 487."
H.R. 4377,https://www.congress.gov/bill/113th-congress/house-bill/4377,113th Congress (2013-2014),,Burma Human Rights and Democracy Act of 2014,"Rep. Chabot, Steve [R-OH-1]",04/02/2014,,,,14,House - Foreign Affairs,09/09/2014,Forwarded by Subcommittee to Full Committee by Unanimous Consent .
H.R. 4347,https://www.congress.gov/bill/113th-congress/house-bill/4347,113th Congress (2013-2014),,Turkey Christian Churches Accountability Act,"Rep. Royce, Edward R. [R-CA-39]",03/28/2014,,,,31,House - Foreign Affairs,06/26/2014,Ordered to be Reported (Amended) by Unanimous Consent.
H.R. 4309,https://www.congress.gov/bill/113th-congress/house-bill/4309,113th Congress (2013-2014),,"To amend the Sikes Act to make certain improvements to the administration of cooperative agreements for land management related to Department of Defense readiness activities, and for other purposes.","Rep. Bordallo, Madeleine Z. [D-GU-At Large]",03/26/2014,,,,0,"House - Natural Resources, Armed Services",12/08/2014,"Placed on the Union Calendar, Calendar No. 485."
H.R. 4278,https://www.congress.gov/bill/113th-congress/house-bill/4278,113th Congress (2013-2014),,Ukraine Support Act,"Rep. Royce, Edward R. [R-CA-39]",03/21/2014,,,,8,"House - Foreign Affairs, Judiciary | Senate - Foreign Relations",04/02/2014,Read twice and referred to the Committee on Foreign Relations.
H.R. 4253,https://www.congress.gov/bill/113th-congress/house-bill/4253,113th Congress (2013-2014),,Bureau of Land Management Withdrawn Military Lands Efficiency and Savings Act,"Rep. Bishop, Rob [R-UT-1]",03/14/2014,,,,3,"House - Natural Resources, Armed Services",12/12/2014,"Placed on the Union Calendar, Calendar No. 503."
H.R. 4194,https://www.congress.gov/bill/113th-congress/house-bill/4194,113th Congress (2013-2014),,Government Reports Elimination Act of 2014,"Rep. Issa, Darrell E. [R-CA-49]",03/11/2014,,,,2,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,11/26/2014,Became Public Law No: 113-188.
H.R. 4189,https://www.congress.gov/bill/113th-congress/house-bill/4189,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 4000 Leap Road in Hilliard, Ohio, as the ""Master Sergeant Shawn T. Hannon,  Master Sergeant Jeffrey J. Rieck and Veterans Memorial Post Office Building"".","Rep. Stivers, Steve [R-OH-15]",03/11/2014,,,,0,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/16/2014,Became Public Law No: 113-219.
H.R. 4005,https://www.congress.gov/bill/113th-congress/house-bill/4005,113th Congress (2013-2014),,Coast Guard and Maritime Transportation Act of 2014,"Rep. Hunter, Duncan D. [R-CA-50]",02/06/2014,,,,2,"House - Transportation and Infrastructure | Senate - Commerce, Science, and Transportation",04/02/2014,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
H.R. 3979,https://www.congress.gov/bill/113th-congress/house-bill/3979,113th Congress (2013-2014),,"Carl Levin and Howard P. ""Buck"" McKeon National Defense Authorization Act for Fiscal Year 2015","Rep. Barletta, Lou [R-PA-11]",01/31/2014,,,,106,House - Ways and Means,12/19/2014,Became Public Law No: 113-291.
H.R. 3765,https://www.congress.gov/bill/113th-congress/house-bill/3765,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 198 Baker Street in Corning, New York, as the ""Specialist Ryan P. Jayne Post Office Building"".","Rep. Reed, Tom [R-NY-23]",12/12/2013,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,08/08/2014,Became Public Law No: 113-153.
H.R. 3687,https://www.congress.gov/bill/113th-congress/house-bill/3687,113th Congress (2013-2014),,Military LAND Act,"Rep. Issa, Darrell E. [R-CA-49]",12/10/2013,,,,28,House - Natural Resources,06/30/2014,"Placed on the Union Calendar, Calendar No. 376."
H.R. 3472,https://www.congress.gov/bill/113th-congress/house-bill/3472,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 13127 Broadway Street in Alden, New York, as the ""Sergeant Brett E. Gornewicz Memorial Post Office"".","Rep. Collins, Chris [R-NY-27]",11/13/2013,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,08/08/2014,Became Public Law No: 113-151.
H.R. 3470,https://www.congress.gov/bill/113th-congress/house-bill/3470,113th Congress (2013-2014),,"To affirm the importance of the Taiwan Relations Act, to provide for the transfer of naval vessels to certain foreign countries, and for other purposes.","Rep. Royce, Edward R. [R-CA-39]",11/13/2013,,,,5,House - Foreign Affairs | Senate - Foreign Relations,04/08/2014,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 3212,https://www.congress.gov/bill/113th-congress/house-bill/3212,113th Congress (2013-2014),,Sean and David Goldman International Child Abduction Prevention and Return Act of 2014,"Rep. Smith, Christopher H. [R-NJ-4]",09/28/2013,,,,31,House - Foreign Affairs | Senate - Foreign Relations,08/08/2014,Became Public Law No: 113-150.
H.R. 3060,https://www.congress.gov/bill/113th-congress/house-bill/3060,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 232 Southwest Johnson Avenue in Burleson, Texas, as the ""Sergeant William Moody Post Office Building"".","Rep. Williams, Roger [R-TX-25]",08/02/2013,,,,35,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/09/2014,Became Public Law No: 113-115.
H.R. 2848,https://www.congress.gov/bill/113th-congress/house-bill/2848,113th Congress (2013-2014),,"Department of State Operations and Embassy Security Authorization Act, Fiscal Year 2014","Rep. Royce, Edward R. [R-CA-39]",07/30/2013,,,,2,House - Foreign Affairs | Senate - Foreign Relations,09/30/2013,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 2748,https://www.congress.gov/bill/113th-congress/house-bill/2748,113th Congress (2013-2014),,Postal Reform Act of 2013,"Rep. Issa, Darrell E. [R-CA-49]",07/19/2013,,,,2,"House - Oversight and Government Reform, Education and the Workforce",01/02/2015,"Placed on the Union Calendar, Calendar No. 564."
H.R. 2611,https://www.congress.gov/bill/113th-congress/house-bill/2611,113th Congress (2013-2014),,"To designate the headquarters building of the Coast Guard on the campus located at 2701 Martin Luther King, Jr., Avenue Southeast in the District of Columbia as the ""Douglas A. Munro Coast Guard Headquarters Building"", and for other purposes.","Rep. Norton, Eleanor Holmes [D-DC-At Large]",07/08/2013,,,,3,House - Transportation and Infrastructure,08/09/2013,Became Public Law No: 113-31.
H.R. 2391,https://www.congress.gov/bill/113th-congress/house-bill/2391,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 5323 Highway N in Cottleville, Missouri as the ""Lance Corporal Phillip Vinnedge Post Office"".","Rep. Wagner, Ann [R-MO-2]",06/14/2013,,,,7,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/09/2014,Became Public Law No: 113-113.
H.R. 2231,https://www.congress.gov/bill/113th-congress/house-bill/2231,113th Congress (2013-2014),,Offshore Energy and Jobs Act,"Rep. Hastings, Doc [R-WA-4]",06/04/2013,,,,11,House - Natural Resources | Senate - Energy and Natural Resources,07/08/2013,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.
H.R. 2210,https://www.congress.gov/bill/113th-congress/house-bill/2210,113th Congress (2013-2014),,Marine Gunnery Sergeant John David Fry Scholarship Improvements Act of 2013,"Rep. Young, C. W. Bill [R-FL-13]",05/23/2013,,,,2,House - Veterans' Affairs,07/18/2013,Forwarded by Subcommittee to Full Committee (Amended) by Voice Vote .
H.R. 2062,https://www.congress.gov/bill/113th-congress/house-bill/2062,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 275 Front Street in Marietta, Ohio, as the ""Lance Corporal Joshua C. Taylor Memorial Post Office Building"".","Rep. Johnson, Bill [R-OH-6]",05/21/2013,,,,14,House - Oversight and Government Reform,03/12/2014,Ordered to be Reported by Unanimous Consent.
H.R. 2011,https://www.congress.gov/bill/113th-congress/house-bill/2011,113th Congress (2013-2014),,Veterans' Advisory Committee on Education Improvement Act of 2013,"Rep. Delaney, John K. [D-MD-6]",05/16/2013,,,,13,House - Veterans' Affairs | Senate - Veterans' Affairs,10/29/2013,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 1992,https://www.congress.gov/bill/113th-congress/house-bill/1992,113th Congress (2013-2014),,Israel QME Enhancement Act,"Rep. Collins, Doug [R-GA-9]",05/15/2013,,,,33,House - Foreign Affairs | Senate - Foreign Relations,12/12/2013,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 1960,https://www.congress.gov/bill/113th-congress/house-bill/1960,113th Congress (2013-2014),,National Defense Authorization Act for Fiscal Year 2014,"Rep. McKeon, Howard P. ""Buck"" [R-CA-25]",05/14/2013,,,,1,House - Armed Services,07/08/2013,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 126.
H.R. 1951,https://www.congress.gov/bill/113th-congress/house-bill/1951,113th Congress (2013-2014),,Sean and David Goldman International Child Abduction Prevention and Return Act of 2013,"Rep. Smith, Christopher H. [R-NJ-4]",05/13/2013,,,,4,"House - Foreign Affairs, Ways and Means, Financial Services, Judiciary, Oversight and Government Reform",06/14/2013,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H.R. 1842,https://www.congress.gov/bill/113th-congress/house-bill/1842,113th Congress (2013-2014),,Military Family Home Protection Act,"Rep. Cummings, Elijah E. [D-MD-7]",05/07/2013,,,,15,House - Veterans' Affairs,07/18/2013,Forwarded by Subcommittee to Full Committee by Voice Vote .
H.R. 1813,https://www.congress.gov/bill/113th-congress/house-bill/1813,113th Congress (2013-2014),,"To redesignate the facility of the United States Postal Service located at 162 Northeast Avenue in Tallmadge, Ohio, as the ""Lance Corporal Daniel Nathan Deyarmin, Jr., Post Office Building"".","Rep. Ryan, Tim [D-OH-13]",04/26/2013,,,,14,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,07/25/2014,Became Public Law No: 113-140.
H.R. 1771,https://www.congress.gov/bill/113th-congress/house-bill/1771,113th Congress (2013-2014),,North Korea Sanctions Enforcement Act of 2014,"Rep. Royce, Edward R. [R-CA-39]",04/26/2013,,,,147,"House - Foreign Affairs, Ways and Means, Judiciary, Financial Services, Oversight and Government Reform | Senate - Foreign Relations",07/29/2014,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 1691,https://www.congress.gov/bill/113th-congress/house-bill/1691,113th Congress (2013-2014),,Chocolate Mountain Aerial Gunnery Range Transfer Act of 2013,"Rep. Vargas, Juan [D-CA-51]",04/23/2013,,,,0,"House - Natural Resources, Armed Services",06/24/2013,"Placed on the Union Calendar, Calendar No. 89."
H.R. 1676,https://www.congress.gov/bill/113th-congress/house-bill/1676,113th Congress (2013-2014),,Johnson Valley National Off-Highway Vehicle Recreation Area Establishment Act,"Rep. Cook, Paul [R-CA-8]",04/23/2013,,,,2,"House - Natural Resources, Armed Services",06/24/2013,"Placed on the Union Calendar, Calendar No. 88."
H.R. 1673,https://www.congress.gov/bill/113th-congress/house-bill/1673,113th Congress (2013-2014),,Naval Air Weapons Station China Lake Security Enhancement Act,"Rep. McCarthy, Kevin [R-CA-23]",04/23/2013,,,,0,"House - Natural Resources, Armed Services",06/24/2013,"Placed on the Union Calendar, Calendar No. 87."
H.R. 1672,https://www.congress.gov/bill/113th-congress/house-bill/1672,113th Congress (2013-2014),,Limestone Hills Training Area Withdrawal Act,"Rep. Daines, Steve [R-MT-At Large]",04/23/2013,,,,2,"House - Natural Resources, Armed Services",06/24/2013,"Placed on the Union Calendar, Calendar No. 86."
H.R. 1497,https://www.congress.gov/bill/113th-congress/house-bill/1497,113th Congress (2013-2014),,War Memorial Protection Act,"Rep. Hunter, Duncan D. [R-CA-50]",04/11/2013,,,,19,House - Natural Resources,07/08/2013,"Placed on the Union Calendar, Calendar No. 102."
H.R. 1458,https://www.congress.gov/bill/113th-congress/house-bill/1458,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 1 Walter Hammond Place in Waldwick, New Jersey, as the ""Staff Sergeant Joseph D'Augustine Post Office Building"".","Rep. Garrett, Scott [R-NJ-5]",04/10/2013,,,,11,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/18/2014,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
H.R. 1451,https://www.congress.gov/bill/113th-congress/house-bill/1451,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 14 Main Street in Brockport, New York, as the ""Staff Sergeant Nicholas J. Reid Post Office Building"".","Rep. Slaughter, Louise McIntosh [D-NY-25]",04/09/2013,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/09/2014,Became Public Law No: 113-112.
