Downloaded on,05/01/2020,14:28:06 EDT,,,,,,,,,,,
Search URL,https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=116&congresses%5B1%5D=115&congresses%5B2%5D=114&congresses%5B3%5D=113&legislationNumbers=&restrictionType=includeBillText&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&public=true&private=true&chamber=all&actionTerms=&legislativeActionWordVariants=true&dateOfActionOperator=equal&dateOfActionStartDate=&dateOfActionEndDate=&dateOfActionIsOptions=yesterday&dateOfActionToggle=multi&legislativeAction=Any&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypes%5B1%5D=sponsor&sponsorTypeBool=OR&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=12&committeeActivity%5B4%5D=4&committeeActivity%5B5%5D=2&committeeActivity%5B6%5D=5&committeeActivity%5B7%5D=9&satellite=%7B%22Actions%22%3A%7B%22operator%22%3A%22OR%22%2C%22actions%22%3A%7B%2214%22%3A%22House+committee%5C%2Fsubcommittee+markups%22%2C%2234%22%3A%22House+amendment+actions%22%2C%2235%22%3A%22House+amendment+offered%5C%2Freported+by%22%7D%7D%2C%22Subject+-+Policy+Area%22%3A%7B%22policyAreas%22%3A%5B%5D%7D%2C%22Legislative+Subject+Terms%22%3A%7B%22operator%22%3A%22OR%22%2C%22subjects%22%3A%5B%22Military+assistance%2C+sales%2C+and+agreements%22%2C%22Military+civil+functions%22%2C%22Military+command+and+structure%22%2C%22Military+education+and+training%22%2C%22Military+facilities+and+property%22%2C%22Military+law%22%2C%22Military+medicine%22%2C%22Military+operations+and+strategy%22%2C%22Military+personnel+and+dependents%22%2C%22Military+procurement%2C+research%2C+weapons+development%22%2C%22Military+readiness%22%5D%7D%7D&search=&submitted=Submitted&searchResultViewType=expanded&KWICView=false,,,,,,,,,,,,
,,,,,,,,,,,,,
Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 2215,https://www.congress.gov/bill/116th-congress/house-bill/2215,116th Congress (2019-2020),,San Gabriel Mountains Foothills and Rivers Protection Act,"Rep. Chu, Judy [D-CA-27]",04/10/2019,,,,31,House - Natural Resources,02/04/2020,"Placed on the Union Calendar, Calendar No. 308."
H.R. 2116,https://www.congress.gov/bill/116th-congress/house-bill/2116,116th Congress (2019-2020),,Global Fragility Act,"Rep. Engel, Eliot L. [D-NY-16]",04/08/2019,,,,20,House - Foreign Affairs | Senate - Foreign Relations,05/21/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 2023,https://www.congress.gov/bill/116th-congress/house-bill/2023,116th Congress (2019-2020),,Protect European Energy Security Act,"Rep. Heck, Denny [D-WA-10]",04/02/2019,,,,47,"House - Foreign Affairs, Intelligence (Permanent)",05/22/2019,Committee Agreed to Seek Consideration Under Suspension of the Rules.
H.R. 2021,https://www.congress.gov/bill/116th-congress/house-bill/2021,116th Congress (2019-2020),,Investing for the People Act of 2019,"Rep. Yarmuth, John A. [D-KY-3]",04/02/2019,,,,1,"House - Budget, Rules",04/09/2019,Rule H. Res. 294 passed House.
H.R. 2002,https://www.congress.gov/bill/116th-congress/house-bill/2002,116th Congress (2019-2020),,Taiwan Assurance Act of 2019,"Rep. McCaul, Michael T. [R-TX-10]",04/01/2019,,,,24,House - Foreign Affairs | Senate - Foreign Relations,05/08/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 1850,https://www.congress.gov/bill/116th-congress/house-bill/1850,116th Congress (2019-2020),,Palestinian International Terrorism Support Prevention Act of 2019,"Rep. Mast, Brian J. [R-FL-18]",03/21/2019,,,,44,"House - Foreign Affairs, Financial Services | Senate - Foreign Relations",07/24/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 1837,https://www.congress.gov/bill/116th-congress/house-bill/1837,116th Congress (2019-2020),,United States-Israel Cooperation Enhancement and Regional Security Act,"Rep. Deutch, Theodore E. [D-FL-22]",03/21/2019,,,,292,"House - Foreign Affairs, Armed Services, Science, Space, and Technology, Agriculture, Energy and Commerce, Judiciary, Homeland Security, Transportation and Infrastructure, Veterans' Affairs | Senate - Foreign Relations",07/24/2019,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 1812,https://www.congress.gov/bill/116th-congress/house-bill/1812,116th Congress (2019-2020),,Vet Center Eligibility Expansion Act,"Rep. Roe, David P. [R-TN-1]",03/18/2019,,,,2,House - Veterans' Affairs,05/22/2019,Received in the Senate.
H.R. 1500,https://www.congress.gov/bill/116th-congress/house-bill/1500,116th Congress (2019-2020),,Consumers First Act,"Rep. Waters, Maxine [D-CA-43]",03/05/2019,,,,29,"House - Financial Services, Education and Labor | Senate - Banking, Housing, and Urban Affairs",05/23/2019,"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs."
H.R. 1250,https://www.congress.gov/bill/116th-congress/house-bill/1250,116th Congress (2019-2020),,"To designate the facility of the United States Postal Service located at 11158 Highway 146 North in Hardin, Texas, as the ""Lucas Lowe Memorial Post Office"".","Rep. Babin, Brian [R-TX-36]",02/14/2019,,,,35,House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs,08/23/2019,Became Public Law No: 116-55.
